2023-12-05 21:50:53 | файл: R_01.txt	 | перевод c 17PL8-3Q945 на 29LP1-6U395	 | сумма: -2325	 | Отклонено: неверно введена сумма
2023-12-05 21:50:53 | файл: R_02.txt	 | перевод c 50VF4-9T830 на 58HY7-0W010	 | сумма: 1	 | Успешно
2023-12-05 21:50:53 | файл: R_03.txt	 | перевод c 58GB3-5O710 на 57DF4-7P845	 | сумма: 22	 | Успешно
2023-12-05 21:50:53 | файл: R_04.txt	 | перевод c 22PO5-4P185 на 46DF3-4P030	 | сумма: 184	 | Успешно
2023-12-05 21:50:53 | файл: R_05.txt	 | перевод c 38DC1-5L910 на 21XX8-9T235	 | сумма: -168	 | Отклонено: неверно введена сумма
2023-12-05 21:50:53 | файл: R_06.txt	 | перевод c 84ZR3-3Z215 на 39AP6-7S695	 | сумма: 2898	 | Отклонено: недостаточный баланс
2023-12-05 21:50:53 | файл: R_07.txt	 | перевод c 72QA7-2E580 на 36RT9-5J645	 | сумма: 16	 | Успешно
2023-12-05 21:50:53 | файл: R_08.txt	 | перевод c 71LW3-6K635 на 37VN6-9Q285	 | сумма: 2581	 | Успешно
2023-12-05 21:50:53 | файл: R_09.txt	 | перевод c 78EF7-7P855 на 20ZO6-0S345	 | сумма: 1908	 | Отклонено: недостаточный баланс
2023-12-05 21:50:53 | файл: R_10.txt	 | перевод c 50VF4-9T830 на 38DC1-5L910	 | сумма: 1477	 | Отклонено: недостаточный баланс
2023-12-05 21:50:53 | файл: R_11.txt	 | перевод c 50VF4-9T830 на 38DC1-5L9XX	 | сумма: 2	 | Отклонено: неверные данные аккаунта
2023-12-05 21:50:53 | файл: R_12.txt	 | перевод c XXXXX-9T830 на 38DC1-XXXXX	 | сумма: 0	 | Отклонено: неверные данные аккаунта

